4465%|K57%|2%|ДИВЕРТИКУЛАРНА БОЛЕСТ НА ДЕБЕЛОТО ЦРЕВО СО ПЕРФОРАЦИЈА И АПСЦЕС   
4466%|K57%|3%|ДИВЕРТИКУЛАРНА БОЛЕСТ НА ДЕБЕЛОТО ЦРЕВО БЕЗ ПЕРФОРАЦИЈА ИЛИ АПСЦЕС   
4467%|K57%|4%|ДИВЕРТИКУЛАРНА БОЛ.И НА ТЕНКОТО И НА ДЕБЕЛ.ЦРЕВО СО ПЕРФОРАЦ.И АПСЦЕС  
4468%|K57%|5%|ДИВЕРТИКУЛАР.БОЛ.И НА ТЕНКОТО И НА ДЕБЕЛ.ЦРЕВО БЕЗ ПЕРФОРАН.И АПСЦЕС  
4469%|K57%|8%|ДИВЕРТИКУЛАРНА БОЛ.НА ЦРЕВОТО НЕОЗНАЧЕН ДЕЛ СО ПЕРФОРАЦИЈА И АПСЦЕС  
4470%|K57%|9%|ДИВЕРТИКУЛАРНА БОЛ.НА ЦРЕВОТО НЕОЗНАЧ.ДЕЛ БЕЗ ПЕРФОРАЦИЈА ИЛИ АПСЦЕС 
4471%|K58%|0%|СИНДРОМ НА ИРИТАБИЛНО ЦРЕВО   
4472%|K58%|0%|СИНДРОМ НА ИРИТАБИЛНО ЦРЕВО СО ДИЈАРЕЈА   
4473%|K58%|9%|СИНДРОМ НА ИРИТАБИЛНО ЦРЕВО БЕЗ ДИЈАРЕЈА   
4474%|K59%|0%|ДРУГИ ФУНКЦИОНАЛНИ ЦРЕВНИ ЗАБОЛУВАЊА   
4475%|K59%|0%|КОНСТИПАЦИЈА   
4476%|K59%|1%|ФУНКЦИОНАЛНА ДИЈАРЕЈА   
4477%|K59%|2%|НЕВРОГЕНО ЦРЕВО НЕКЛАСИФИЦИРАНО НА ДРУГО МЕСТО  
4478%|K59%|3%|МЕГАКОЛОН НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4479%|K59%|4%|АНАЛЕН СПАЗАМ   
4480%|K59%|8%|ДРУГИ ОЗНАЧЕНИ ФУНКЦИОНАЛНИ ЦРЕВНИ ЗАБОЛУВАЊА   
4481%|K59%|9%|ФУНКЦИОНАЛНО ЦРЕВНО ЗАБОЛУВАЊЕ НЕОЗНАЧЕНО  
4482%|K60%|0%|ФИСУРА И ФИСТУЛА НА АНАЛНАТА И РЕКТАЛНАТА РЕГИЈА   
4483%|K60%|0%|АКУТНА АНАЛНА ФИСУРА   
4484%|K60%|1%|ХРОНИЧНА АНАЛНА ФИСУРА   
4485%|K60%|2%|АНАЛНА ФИСУРА НЕОЗНАЧЕНО  
4486%|K60%|3%|АНАЛНА ФИСТУЛА   
4487%|K60%|4%|РЕКТАЛНА ФИСТУЛА   
4488%|K60%|5%|АНОРЕКТАЛНА ФИСТУЛА   
4489%|K61%|0%|АПСЦЕС  НА АНАЛНАТА И РЕКТАЛНАТА РЕГИЈА   
4490%|K61%|0%|АНАЛЕН АПСЦЕС   
4491%|K61%|1%|РЕКТАЛЕН АПСЦЕС   
4492%|K61%|2%|АНОРЕКТАЛЕН АПСЦЕС   
4493%|K61%|3%|ИШИОРЕКТАЛЕН АПСЦЕС   
4494%|K61%|4%|ИНТРАСФИНКТЕРЕН АПСЦЕС   
4495%|K62%|0%|ДРУГИ БОЛЕСТИ НА АНУСОТ И РЕКТУМОТ   
4496%|K62%|0%|АНАЛЕН ПОЛИП   
4497%|K62%|1%|РЕКТАЛЕН ПОЛИП   
4498%|K62%|2%|АНАЛЕН ПРОЛАПС   
4499%|K62%|3%|РЕКТАЛЕН ПРОЛАПС   
4500%|K62%|4%|СТЕНОЗА НА АНУСОТ И РЕКТУМОТ   
4501%|K62%|5%|КРВАВЕЊЕ ОД АНУСОТ И РЕКТУМОТ   
4502%|K62%|6%|УЛКУС НА АНУСОТ И РЕКТУМОТ   
4503%|K62%|7%|ЗРАЧЕН ПРОКТИТ   
4504%|K62%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА АНУСОТ И РЕКТУМОТ   
4505%|K62%|9%|БОЛЕСТ НА АНУСОТ И РЕКТУМОТ НЕОЗНАЧЕНО  
4506%|K63%|0%|ДРУГИ БОЛЕСТИ НА ЦРЕВОТО   
4507%|K63%|0%|АПСЦЕС НА ЦРЕВОТО   
4508%|K63%|1%|ПЕРФОРАЦИЈА НА ЦРЕВОТО (НЕТРАУМАТСКА)   
4509%|K63%|2%|ФИСТУЛА НА ЦРЕВОТО   
4510%|K63%|3%|УЛКУС НА ЦРЕВОТО   
4511%|K63%|4%|ЕНТЕРОПТОЗА   
4512%|K63%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА ЦРЕВОТО   
4513%|K63%|9%|БОЛЕСТ НА ЦРЕВОТО НЕОЗНАЧЕНО  
4514%|K65%|0%|ПЕРИТОНИТ   
4515%|K65%|0%|АКУТЕН ПЕРИТОНИТ   
4516%|K65%|8%|ДРУГ ПЕРИТОНИТ   
4517%|K65%|9%|ПЕРИТОНИТ НЕОЗНАЧЕНО  
4518%|K66%|0%|ДРУГИ ЗАБОЛУВАЊА НА ПЕРИТОНЕУМОТ   
4519%|K66%|0%|ПЕРИТОНЕАЛНИ АТХЕЗИИ   
4520%|K66%|1%|ХЕМОПЕРИТОНЕУМ   
4521%|K66%|8%|ДРУГИ ОЗНАЧЕНИ ЗАБОЛУВАЊА НА ПЕРИТОНЕУМОТ   
4522%|K66%|9%|ЗАБОЛУВАЊЕ НА ПЕРИТОНЕУМОТ НЕОЗНАЧЕНО  
4523%|K67%|0%|ЗАБОЛУВАЊА НА ПЕРИТОНЕУМОТ КАЈ ИНФЕКТИВНИ БОЛЕСТИ КЛАСИФ.НА ДР.МЕСТО   
4524%|K67%|0%|ХЛАМИДИСКИ ПЕРИТОНИТ (74.8+)   
4525%|K67%|1%|ГОНОКОКЕН ПЕРИТОНИТ (А54.8+)   
4526%|K67%|2%|СИФИЛИСТИЧЕН ПЕРИТОНИТ (А52.7+)   
4527%|K67%|3%|ТУБЕРКУЛОЗЕН ПЕРИТОНИТ(А18.3+)   
4528%|K67%|8%|ДРУГИ ЗАБОЛ.НА ПЕРИТОНЕУМОТ КАЈ ИНФЕКТИВ.БОЛ.КЛАСИФИЦИР.НА ДР.МЕСТО   
4529%|K70%|0%|АЛКОХОЛНА БОЛЕСТ НА ЦРНИОТ ДРОБ   
4530%|K70%|0%|АЛКОХОЛЕН МАСЕН ЦРН ДРОБ   
4531%|K70%|1%|АЛКОХОЛЕН ХЕПАТИТ   
4532%|K70%|2%|АЛКОХОЛНА ФИБРОЗА И СКЛЕРОЗА НА ЦРНИОТ ДРОБ   
4533%|K70%|3%|АЛКОХОЛНА ЦИРОЗА НА ЦРНИОТ ДРОБ   
4534%|K70%|4%|АЛКОХОЛНА ХЕПАТИЧНА ИНСУФИЦИЕНЦИЈА   
4535%|K70%|9%|АЛКОХОЛНА БОЛЕСТ НА ЦРНИОТ ДРОБ НЕОЗНАЧЕНО  
4536%|K71%|0%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ   
4537%|K71%|0%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ХОЛЕСТАЗА   
4538%|K71%|1%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ХЕПАТИЧНА НЕКРОЗА   
4539%|K71%|2%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО АКУТЕН ХЕПАТИТ   
4540%|K71%|3%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ХРОНИЧЕН ПЕРЗИСТЕНТЕН ХЕПАТИТ   
4541%|K71%|4%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ХРОНИЧЕН ЛОБУЛАРЕН ХЕПАТИТ   
4542%|K71%|5%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ХРОНИЧЕН АКТИВЕН ХЕПАТИТ   
4543%|K71%|6%|ТОКСИЧНА БОЛ.НА ЦРНИОТ ДРОБ СО ХЕПАТИТ НЕКЛАСИФИЦИР. НА ДР. МЕСТО  
4544%|K71%|7%|ТОКСИЧНА БОЛ. НА ЦРНИОТ ДРОБ СО ФИБРОЗА И ЦИРОЗА НА ЦРНИОТ ДРОБ   
4545%|K71%|8%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ СО ДР.ЗАБОЛУВАЊА НА ЦРНИОТ ДРОБ   
4546%|K71%|9%|ТОКСИЧНА БОЛЕСТ НА ЦРНИОТ ДРОБ НЕОЗНАЧЕНО  
4547%|K72%|0%|ХЕПАТИЧНА ИНСУФИЦИЕНЦИЈА НЕКЛАСИФИЦИРАНА НА ДРУГО МЕСТО  
4548%|K72%|0%|АКУТНА И СУБАКУТНА ХЕПАТИЧНА ИНСУФИЦИЕНЦИЈА   
4549%|K72%|1%|ХРОНИЧНА ХЕПАТИЧНА ИНСУФИЦИЕНЦИЈА   
4550%|K72%|9%|ХЕПАТИЧНА ИНСУФИЦИЕНЦИЈА НЕОЗНАЧЕНО  
4551%|K73%|0%|ХРОНИЧЕН ХЕПАТИТ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4552%|K73%|0%|ХРОНИЧЕН ПЕРЗИСТЕНТЕН ХЕПАТИТ НЕКЛАСИФИЦИРАНА НА ДРУГО МЕСТО  
4553%|K73%|1%|ХРОНИЧЕН ЛОБУЛАРЕН ХЕПАТИТ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4554%|K73%|2%|ХРОНИЧЕН АКТИВЕН ХЕПАТИТ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4555%|K73%|8%|ДРУГ ХРОНИЧЕН ХЕПАТИТ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4556%|K73%|9%|ХРОНИЧЕН ХЕПАТИТ НЕОЗНАЧЕНО  
4557%|K74%|0%|ФИБРОЗА И ЦИРОЗА НА ЦРНИОТ ДРОБ   
4558%|K74%|0%|ХЕПАТИЧНА ФИБРОЗА   
4559%|K74%|1%|ХЕПАТИЧНА СКЛЕРОЗА   
4560%|K74%|2%|ХЕПАТИЧНА ФИБРОЗА СО ХЕПАТИЧНА СКЛЕРОЗА   
4561%|K74%|3%|ПРИМАРНА БИЛИЈАРНА ЦИРОЗА   
4562%|K74%|4%|СЕКУНДАРНА БИЛИЈАРНА ЦИРОЗА   
4563%|K74%|5%|БИЛИЈАРНА ЦИРОЗА НЕОЗНАЧЕНО  
4564%|K74%|6%|ДРУГА И НЕОЗНАЧЕНА ЦИРОЗА НА ЦРНИОТ ДРОБ   
4565%|K75%|0%|ДРУГИ ВОСПАЛИТЕЛНИ БОЛЕСТИ НА ЦРНИОТ ДРОБ   
4566%|K75%|0%|АПСЦЕС НА ЦРНИОТ ДРОБ   
4567%|K75%|1%|ФЛЕБИТ НА ПОРТАЛНАТА ВЕНА   
4568%|K75%|2%|НЕСПЕЦИФИЧЕН РЕАКТИВЕН ХЕПАТИТ   
4569%|K75%|3%|ГРАНУЛОМАТОЗЕН ХЕПАТИТ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4570%|K75%|8%|ДРУГИ ОЗНАЧЕНИ ВОСПАЛИТЕЛНИ БОЛЕСТИ НА ЦРНИОТ ДРОБ   
4571%|K75%|9%|ВОСПАЛИТЕЛНА БОЛЕСТ НА ЦРНИОТ ДРОБ НЕОЗНАЧЕНО  
4572%|K76%|0%|ДРУГИ БОЛЕСТИ НА ЦРНИОТ ДРОБ   
4573%|K76%|0%|МАСЕН  (ПРОМЕНА) ЦРН ДРОБ НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4574%|K76%|1%|ХРОНИЧНА ПАСИВНА КОНГЕСТИЈА НА ЦРНИОТ ДРОБ   
4575%|K76%|2%|ЦЕНТРАЛНА ХЕМОРАГИЧНА НЕКРОЗА НА ЦРНИОТ ДРОБ   
4576%|K76%|3%|ИНФАРКТ НА ЦРНИОТ ДРОБ   
4577%|K76%|4%|ХЕПАТИЧНА ПЕЛИОЗА   
4578%|K76%|5%|ХЕПАТИЧНА ВЕНО-ОКЛУЗИВНА БОЛЕСТ   
4579%|K76%|6%|ПОРТАЛНА ХИПЕРТЕНЗИЈА   
4580%|K76%|7%|ХЕПАТОРЕНАЛЕН СИНДРОМ   
4581%|K76%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА ЦРНИОТ ДРОБ   
4582%|K76%|9%|ЦРНОДРОБНА БОЛЕСТ НЕОЗНАЧЕНО  
4583%|K77%|0%|ЗАБОЛУВАЊА НА ЦРНИОТ ДРОБ КАЈ БОЛЕСТИ КЛАСИФИЦИРАНИ НА ДРУГО МЕСТО   
4584%|K77%|0%|ЗАБОЛ.НА ЦРНИОТ ДРОБ КАЈ ИНФЕКТИВ.И ПАРАЗИТ.БОЛ.И КЛАСИФ.НА ДР. МЕСТО   
4585%|K77%|8%|ЗАБОЛ.НА ЦРНИОТ ДРОБ КАЈ ДРУГИ БОЛЕСТИ КЛАСИФИЦИРАНИ НА ДРУГО МЕСТО   
4586%|K80%|0%|ХОЛЕЛИТИЈАЗА   
4587%|K80%|0%|КАЛКУЛУС ВО ЖОЛЧНОТО ЌЕСЕ СО АКУТЕН  ХОЛЕСТИЦИТ   
4588%|K80%|1%|КАЛКУЛУС ВО ЖОЛЧНОТО КЕСЕ СО ДРУГ ХОЛЕЦИСТИТ   
4589%|K80%|2%|КАЛКУЛУС ВО ЖОЛЧНОТО ЌЕСЕ БЕЗ ХОЛЕЦИСТИТ   
4590%|K80%|3%|КАЛКУЛУС ВО ЖОЛЧЕН КАНАЛ СО ХОЛАНГИТ   
4591%|K80%|4%|КАЛКУЛУС ВО ЖОЛЧЕН КАНАЛ СО ХОЛЕЦИСТИТ   
4592%|K80%|5%|КАЛКУЛУС ВО ЖОЛЧЕН КАНАЛ БЕЗ ХОЛАНГИТ ИЛИ ХОЛЕЦИСТИТ   
4593%|K80%|8%|ДРУГА ХОЛЕЛИТИЈАЗА   
4594%|K81%|0%|ХОЛЕЦИСТИТ   
4595%|K81%|0%|АКУТЕН ХОЛЕЦИСТИТ   
4596%|K81%|1%|ХРОНИЧЕН ХОЛЕЦИСТИТ   
4597%|K81%|8%|ДРУГ ХОЛЕЦИСТИТ   
4598%|K81%|9%|ХОЛЕЦИСТИТ НЕОЗНАЧЕНО  
4599%|K82%|0%|ДРУГИ БОЛЕСТИ НА ЖОЛЧНОТО ЌЕСЕ   
4600%|K82%|0%|ОПСТРУКЦИЈА НА ЖОЛЧНОТО ЌЕСЕ   
4601%|K82%|1%|ХИДРОПС НА ЖОЛЧНОТО ЌЕСЕ   
4602%|K82%|2%|ПЕРФОРАЦИЈА НА ЖОЛЧНОТО ЌЕСЕ   
4603%|K82%|3%|ФИСТУЛА НА ЖОЛЧНОТО ЌЕСЕ   
4604%|K82%|4%|ХОЛЕСТЕРОЛОЗА НА ЖОЛЧНОТО ЌЕСЕ   
4605%|K82%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА ЖОЛЧНОТО ЌЕСЕ   
4606%|K82%|9%|БОЛЕСТ НА ЖОЛЧНОТО ЌЕСЕ НЕОЗНАЧЕНО  
4607%|K83%|0%|ДРУГИ БОЛЕСТИ НА БИЛИЈАРНИОТ ТРАКТ   
4608%|K83%|0%|ХОЛАНГИТ   
4609%|K83%|1%|ОПСТРУКЦИЈА НА ЖОЛЧЕН КАНАЛ   
4610%|K83%|2%|ПЕРФОРАЦИЈА НА ЖОЛЧЕН КАНАЛ   
4611%|K83%|3%|ФИСТУЛА НА ЖОЛЧЕН КАНАЛ   
4612%|K83%|4%|СПАЗАМ НА ОДДИ-ЕВИОТ СФИНКТЕР   
4613%|K83%|5%|БИЛИЈАРНА ЦИСТА   
4614%|K83%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА БИЛИЈАРНИОТ ТРАКТ   
4615%|K83%|9%|БОЛЕСТ НА БИЛИЈАРНИОТ ТРАКТ НЕОЗНАЧЕНО  
4616%|K85%|0%|АКУТЕН ПАНКРЕАТИТ   
4617%|K86%|0%|ДРУГИ БОЛЕСТИ НА ПАНКРЕАСОТ   
4618%|K86%|0%|СО АЛКОХОЛ ПРЕДИЗВИКАН ХРОНИЧЕН ПАНКРЕАТИТ   
4619%|K86%|1%|ДРУГ ХРОНИЧЕН ПАНКРЕАТИТ   
4620%|K86%|2%|ЦИСТА НА ПАНКРЕАСОТ   
4621%|K86%|3%|ПСЕВДОЦИСТА НА ПАНКРЕАСОТ   
4622%|K86%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА ПАНКРЕАСОТ   
4623%|K86%|9%|БОЛЕСТ НА ПАНКРЕАСОТ НЕОЗНАЧЕНО  
4624%|K87%|0%|ЗАБОЛ.НА ЖОЛЧ.ЌЕСЕ НА БИЛИЈАРНИОТ ТРАКТ И НА ПАНКР.КАЈ БОЛ.КЛАС.ДР.МЕ  
4625%|K87%|0%|ЗАБОЛ.НА ЖОЛЧНОТО ЌЕСЕ И НА БИЛИЈАРН.ТРАКТ КАЈ БОЛ.КЛАСИФИЦ.НА ДР.МЕ.   
4626%|K87%|1%|ЗАБОЛ.НА ПАНКРЕАСОТ КАЈ БОЛЕСТИ КЛАСИФИЦИРАНИ НА ДРУГО МЕСТО   
4627%|K90%|0%|ЦРЕВНА МАЛАПСОРПЦИЈА   
4628%|K90%|0%|ЦЕЛИЈАЧНА БОЛЕСТ   
4629%|K90%|1%|ТРОПСКА СПРУ   
4630%|K90%|2%|СИНДРОМ НА СЛЕП СВИЈОК НЕКЛАСИФИЦИРАН НА ДРУГО МЕСТО  
4631%|K90%|3%|ПАНКРЕАТИЧНА СТЕАТОРЕЈА   
4632%|K90%|4%|МАЛАПСОРПЦИЈА ПОРАДИ ИНТОЛЕРАНЦИЈА НЕКЛАСИФИЦИРАНА НА ДРУГО МЕСТО  
4633%|K90%|8%|ДРУГА ЦРЕВНА МАЛАПСОРПЦИЈА   
4634%|K90%|9%|ЦРЕВНА МАЛАПСОРПЦИЈА НЕОЗНАЧЕНО  
4635%|K91%|0%|ПОСТПРОЦЕДУР.ЗАБОЛ.НА ДИГЕСТИВ.СИСТЕМ НЕКЛАСИФИЦИРАНИ НА ДРУГО МЕСТО  
4636%|K91%|0%|ПОВРАЌАЊЕ ПО ГАСТРОИНТЕСТИНАЛНА ОПЕРАЦИЈА   
4637%|K91%|1%|ПОСТГАСТРИТИЧНИ ХИРУШКИ СИНДРОМИ   
4638%|K91%|2%|ПОСТОПЕРАТИВНА МАЛАПСОРПЦИЈА НЕКЛАСИФИЦИРАНА НА ДРУГО МЕСТО  
4639%|K91%|3%|ПОСТОПЕРАТИВНА ЦРЕВНА ОПСТРУКЦИЈА   
4640%|K91%|4%|МАЛФУНКЦИЈА НА КОЛОСТОМА И ЕНТЕРОСТОМА   
4641%|K91%|5%|ПОСТХОЛЕЦИСТЕКТОМИЧЕН СИНДРОМ   
4642%|K91%|8%|ДРУГИ ПОСТПРОЦЕДУРАЛНИ ЗАБОЛ.НА ДИГЕСТИВНИОТ СИС.НЕКЛАСИФ.НА ДР.МЕСТО   
4643%|K91%|9%|ПОСТПРОЦЕДУРАЛНО ЗАБОЛУВАЊЕ НА ДИГЕСТИВНИОТ СИСТЕМ НЕОЗНАЧЕНО  
4644%|K92%|0%|ДРУГИ БОЛЕСТИ НА ДИГЕСТИВНИОТ СИСТЕМ   
4645%|K92%|0%|ХЕМАТЕМЕЗА   
4646%|K92%|1%|МЕЛЕНА   
4647%|K92%|2%|ГАСТРОИНТЕСТИНАЛНО КРВАВЕЊЕ НЕОЗНАЧЕНО  
4648%|K92%|8%|ДРУГИ ОЗНАЧЕНИ БОЛЕСТИ НА ДИГЕСТИВНИОТ СИСТЕМ   
4649%|K92%|9%|БОЛЕСТ НА ДИГЕСТИВНИОТ СИСТЕМ НЕОЗНАЧЕНО  
4650%|K93%|0%|ЗАБОЛУВАЊА НА ДРУГИ ДИГЕСТИВНИ ОРГАНИ КАЈ БОЛЕСТИ КЛАСИФ.НА ДР.МЕСТО   
4651%|K93%|0%|ТУБЕРК.ЗАБ.НА ЦРЕВ.НА ПЕРИТОНЕУМОТ И НА МЕЗЕНТЕРИЈАЛН.ЛИМ.Ж.(А18.3+)   
4652%|K93%|1%|МЕГАКОЛОН КАЈ CHAGAS-ОВА БОЛЕСТ(B57.3+)   
4653%|K93%|8%|ЗАБОЛ.НА ДР.ОЗНАЧЕНИ ДИГЕСТИВНИ ОРГАНИ КАЈ БОЛЕСТИ КЛАСИФ.НА ДР.МЕСТО   
4654%|L00%|0%|СИНДРОМ НА СТАФИЛОКОКНА КОЖНА ИНФЕКЦИЈА   
4655%|L01%|0%|ИМПЕТИГО   
4656%|L01%|0%|ИМПЕТИГО [КОЈ ДА БИЛО МИКРООРГАНИЗАМ] [КОЈА ДА БИЛО ЛОКАЛИЗАЦИЈА]   
4657%|L01%|1%|ИМПЕТИНИГИЗАЦИЈА НА ДРУГИ ДЕРМАТОЗИ   
4658%|L02%|0%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ  
4659%|L02%|0%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ЛИЦЕТО  
4660%|L02%|1%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ВРАТОТ  
4661%|L02%|2%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ТРУПОТ  
4662%|L02%|3%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ЗАДНИКОТ  
4663%|L02%|4%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ЕКСТРЕМИТЕТ  
4664%|L02%|8%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НА ДРУГИ ЛОКАЛИЗАЦИИ  
4665%|L02%|9%|КУТАН АПСЦЕС ФУРУНКУЛ И КАРБУНКУЛ НЕОЗНАЧЕНО 
4666%|L03%|0%|ЦЕЛУЛИТ   
4667%|L03%|0%|ЦЕЛУЛИТ НА ПРСТ НА РАЦЕТЕ И НОЗЕТЕ   
4668%|L03%|1%|ЦЕЛУЛИТ НА ДРУГИ ДЕЛОВИ ОД ЕКСТРЕМИТЕТОТ   
4669%|L03%|2%|ЦЕЛУЛИТ НА ЛИЦЕТО   
4670%|L03%|3%|ЦЕЛУЛИТ НА ТРУПОТ   
4671%|L03%|8%|ЦЕЛУЛИТ НА ДРУГИ ЛОКАЛИЗАЦИИ   
4672%|L03%|9%|ЦЕЛУЛИТ НЕОЗНАЧЕНО  
4673%|L04%|0%|АКУТЕН ЛИМФАДЕНИТ   
4674%|L04%|0%|АКУТЕН ЛИМФАДЕНИТ НА ЛИЦЕТО ГЛАВАТА И ВРАТОТ  
4675%|L04%|1%|АКУТЕН ЛИМФАДЕНИТ НА ТРУПОТ   
4676%|L04%|2%|АКУТЕН ЛИМФАДЕНИТ НА ГОРЕН ЕКСТРЕМИТЕТ   
4677%|L04%|3%|АКУТЕН ЛИМФАДЕНИТ НА ДОЛЕН ЕКСТРЕМИТЕТ   
4678%|L04%|8%|АКУТЕН ЛИМФАДЕНИТ НА ДРУГИ ЛОКАЛИЗАЦИИ   
4679%|L04%|9%|АКУТЕН ЛИМФАДЕНИТ НЕОЗНАЧЕНО  
4680%|L05%|0%|ПИЛОНИДАЛНА ЦИСТА   
4681%|L05%|0%|ПИЛОНИДАЛНА ЦИСТА СО АПСЦЕС   
4682%|L05%|9%|ПИЛОНИДАЛНА ЦИСТА БЕЗ АПСЦЕС   
4683%|L08%|0%|ДРУГИ ЛОКАЛНИ ИНФЕКЦИИ НА КОЖАТА И НА ПОТКОЖНОТО ТКИВО   
4684%|L08%|0%|ПИОДЕРМИЈА   
4685%|L08%|1%|ЕРИТРАЗМА   
4686%|L08%|8%|ДРУГИ ОЗНАЧЕНИ ЛОКАЛ.ИНФЕКЦИИ НА КОЖАТА И НА ПОТКОЖНОТО ТКИВО   
4687%|L08%|9%|ЛОКАЛНА ИНФЕКЦИЈА НА КОЖАТА И НА ПОТКОЖНОТО ТКИВО НЕОЗНАЧЕНО  
4688%|L10%|0%|ПЕМФИГУС   
4689%|L10%|0%|ПЕМФИГУС ВУЛГАРИС   
4690%|L10%|1%|ПЕМФИГУС ВЕГЕТАНС   
4691%|L10%|2%|ПЕМФИГУС ФОЛИЈАЦЕУС   
4692%|L10%|3%|БРАЗИЛСКИ ПЕМФИГУС[FOGO SELVAGEM]   
4693%|L10%|4%|ПЕМФИГУС ЕРИТЕМАТОЗУС   
4694%|L10%|5%|ПЕМФИГУС ПРЕДИЗВИКАН СО ЛЕК   
4695%|L10%|8%|ДРУГ ПЕМФИГУС   
4696%|L10%|9%|ПЕМФИГУС НЕОЗНАЧЕНО  
4697%|L11%|0%|ДРУГИ АКАНТОЛИТИЧНИ ЗАБОЛУВАЊА   
4698%|L11%|0%|СТЕКНАТА ФОЛИКУЛАРНА КЕРАТОЗА   
4699%|L11%|1%|ТРАНЗИТОРНА АКАНТОЛИТИЧНА ДЕРМАТОЗА[GROVER]   
4700%|L11%|8%|ДРУГИ ОЗНАЧЕНИ АКАНТОЛИТИЧНИ ЗАБОЛУВАЊА   
4701%|L11%|9%|АКАНТОЛИТИЧНО ЗАБОЛУВАЊЕ НЕОЗНАЧЕНО  
4702%|L12%|0%|ПЕМФИГОИД   
4703%|L12%|0%|БУЛОЗЕН ПЕМФИГОИД   
4704%|L12%|1%|ЦИКАТРИЦИЈАЛЕН ПЕМФИГОИД   
4705%|L12%|2%|ХРОНИЧНА БУЛОЗНА БОЛЕСТ ВО ДЕТСТВОТО   
4706%|L12%|3%|СТЕКНАТА БУЛОЗНА ЕПИДЕРМОЛИЗА   
4707%|L12%|8%|ДРУГ ПЕМФИГОИД   
4708%|L12%|9%|ПЕМФИГОИД НЕОЗНАЧЕНО  
4709%|L13%|0%|ДРУГИ БУЛОЗНИ ЗАБОЛУВАЊА   
4710%|L13%|0%|ХЕРПЕТИФОРМЕН ДЕРМАТИТ   
4711%|L13%|1%|СУПКОРНЕАЛЕН ПУСТУЛОЗЕН ДЕРМАТИТ   
4712%|L13%|8%|ДРУГИ ОЗНАЧЕНИ БУЛОЗНИ ЗАБОЛУВАЊА   
4713%|L13%|9%|БУЛОЗНО ЗАБОЛУВАЊЕ НЕОЗНАЧЕНО  
4714%|L14%|0%|БУЛОЗНИ ЗАБОЛУВАЊА КАЈ БОЛЕСТИ КЛАСИФИЦИРАНИ НА ДРУГО МЕСТО   
4715%|L20%|0%|АТОПИЧЕН ДЕРМАТИТ   
4716%|L20%|0%|БЕСНИЕР-ОВ ПРУРИГО   
4717%|L20%|8%|ДРУГ АТОПИЧЕН ДЕРМАТИТ   
4718%|L20%|9%|АТОПИЧЕН ДЕРМАТИТ НЕОЗНАЧЕНО  
4719%|L21%|0%|СЕБОРОИЧЕН ДЕРМАТИТ   
4720%|L21%|0%|СЕБОРЕЈА НА ГЛАВАТА   
4721%|L21%|1%|СЕБОРОИЧЕН ДОЕНЕЧКИ ДЕРМАТИТ   
4722%|L21%|8%|ДРУГ СЕБОРОИЧЕН ДЕРМАТИТ   
4723%|L21%|9%|СЕБОРОИЧЕН ДЕРМИТ НЕОЗНАЧЕНО  
4724%|L22%|0%|ДЕРМАТИТ ОД ПЕЛЕНА [САЛФЕТА]   
4725%|L23%|0%|АЛЕРГИЧЕН КОНТАКТЕН ДЕРМАТИТ   
4726%|L23%|0%|АЛЕРГИЧЕН КОНТАКТЕН ДЕРМАТИТ ПРЕДИЗВИКАН СО МЕТАЛИ   
